Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.28,-.17,-.10,-.19,-.11,-.22,-.20,-.08,-.15,-.22,-.19,-.22,-.18,***,***,-.13,-.17,-.19
1881,-.14,-.16,.05,.05,.03,-.19,-.05,-.01,-.13,-.20,-.21,-.10,-.09,-.10,-.17,.04,-.09,-.18
1882,.15,.16,.05,-.18,-.15,-.25,-.20,-.04,-.09,-.24,-.15,-.23,-.10,-.09,.07,-.09,-.16,-.16
1883,-.30,-.38,-.12,-.16,-.19,-.12,-.07,-.14,-.20,-.13,-.22,-.15,-.18,-.19,-.31,-.16,-.11,-.18
1884,-.15,-.07,-.36,-.42,-.36,-.40,-.34,-.26,-.26,-.23,-.29,-.28,-.29,-.27,-.12,-.38,-.33,-.26
1885,-.58,-.29,-.24,-.42,-.41,-.43,-.35,-.31,-.23,-.19,-.19,-.04,-.31,-.33,-.38,-.36,-.36,-.20
1886,-.41,-.45,-.38,-.27,-.25,-.38,-.21,-.33,-.25,-.28,-.30,-.26,-.31,-.30,-.30,-.30,-.31,-.28
1887,-.72,-.52,-.33,-.38,-.31,-.23,-.22,-.31,-.22,-.32,-.23,-.33,-.34,-.34,-.50,-.34,-.26,-.26
1888,-.37,-.35,-.40,-.22,-.21,-.18,-.09,-.15,-.09,.02,.01,-.06,-.17,-.20,-.35,-.28,-.14,-.02
1889,-.11,.19,.08,.08,-.02,-.13,-.09,-.19,-.21,-.22,-.32,-.29,-.10,-.08,.01,.05,-.14,-.25
1890,-.43,-.44,-.39,-.36,-.45,-.26,-.26,-.37,-.39,-.23,-.47,-.30,-.36,-.36,-.39,-.40,-.30,-.36
1891,-.41,-.46,-.17,-.27,-.18,-.20,-.19,-.15,-.13,-.20,-.34,-.03,-.23,-.25,-.39,-.21,-.18,-.22
1892,-.27,-.11,-.34,-.33,-.24,-.22,-.31,-.24,-.12,-.11,-.40,-.37,-.26,-.23,-.14,-.31,-.26,-.21
1893,-.78,-.53,-.22,-.29,-.35,-.27,-.15,-.25,-.19,-.15,-.15,-.34,-.31,-.31,-.56,-.28,-.22,-.17
1894,-.52,-.32,-.24,-.47,-.34,-.43,-.25,-.21,-.24,-.19,-.24,-.18,-.30,-.31,-.39,-.35,-.29,-.22
1895,-.43,-.41,-.28,-.24,-.26,-.23,-.17,-.15,-.09,-.07,-.14,-.15,-.22,-.22,-.34,-.26,-.18,-.10
1896,-.25,-.13,-.25,-.30,-.17,-.13,-.03,-.03,-.02,.12,-.07,-.02,-.11,-.12,-.18,-.24,-.06,.01
1897,-.13,-.13,-.12,-.02,-.04,-.15,-.06,-.10,-.07,-.11,-.18,-.18,-.11,-.10,-.10,-.06,-.10,-.12
1898,-.02,-.29,-.51,-.32,-.31,-.20,-.23,-.25,-.21,-.33,-.37,-.24,-.27,-.27,-.17,-.38,-.23,-.30
1899,-.18,-.40,-.33,-.20,-.23,-.32,-.17,-.06,-.03,-.04,.12,-.27,-.18,-.17,-.27,-.25,-.18,.02
1900,-.36,-.02,.02,-.12,-.10,-.12,-.12,-.10,-.04,.10,-.09,-.06,-.08,-.10,-.22,-.07,-.11,-.01
1901,-.23,-.03,.09,-.03,-.16,-.12,-.14,-.19,-.21,-.30,-.16,-.27,-.15,-.13,-.11,-.03,-.15,-.22
