Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.53,-.37,-.25,-.35,-.09,-.21,-.22,-.23,-.25,-.31,-.35,-.47,-.30,***,***,-.23,-.22,-.30
1881,-.18,-.23,.03,.00,-.04,-.35,-.04,-.01,-.21,-.39,-.40,-.26,-.17,-.19,-.29,.00,-.13,-.33
1882,.24,.24,.02,-.34,-.30,-.36,-.35,-.12,-.15,-.51,-.31,-.40,-.19,-.18,.07,-.21,-.28,-.32
1883,-.58,-.66,-.14,-.26,-.31,-.24,-.08,-.25,-.32,-.20,-.39,-.24,-.31,-.32,-.55,-.24,-.19,-.30
1884,-.21,-.10,-.64,-.61,-.41,-.51,-.46,-.49,-.43,-.40,-.47,-.39,-.43,-.41,-.18,-.55,-.49,-.43
1885,-.99,-.35,-.19,-.52,-.54,-.46,-.37,-.43,-.31,-.29,-.26,.02,-.39,-.43,-.58,-.42,-.42,-.29
1886,-.67,-.67,-.56,-.33,-.33,-.42,-.19,-.45,-.33,-.30,-.43,-.16,-.40,-.39,-.44,-.41,-.35,-.36
1887,-1.05,-.57,-.35,-.41,-.26,-.19,-.21,-.50,-.16,-.39,-.18,-.42,-.39,-.37,-.59,-.34,-.30,-.24
1888,-.52,-.58,-.57,-.23,-.15,-.03,.04,-.19,-.12,.04,-.02,-.25,-.22,-.23,-.51,-.32,-.06,-.03
1889,-.31,.35,.07,.15,-.04,-.12,-.09,-.16,-.25,-.33,-.60,-.54,-.16,-.13,-.07,.06,-.12,-.40
1890,-.64,-.55,-.43,-.35,-.47,-.20,-.23,-.37,-.40,-.06,-.68,-.42,-.40,-.41,-.58,-.42,-.26,-.38
1891,-.58,-.67,-.11,-.31,-.20,-.14,-.11,-.07,-.01,-.25,-.54,-.01,-.25,-.29,-.56,-.21,-.11,-.27
1892,-.43,-.14,-.54,-.46,-.26,-.09,-.36,-.26,-.11,-.19,-.78,-.62,-.35,-.30,-.19,-.42,-.24,-.36
1893,-1.44,-.87,-.26,-.28,-.41,-.19,-.11,-.31,-.20,-.21,-.23,-.62,-.43,-.43,-.98,-.32,-.20,-.21
1894,-.85,-.41,-.19,-.57,-.31,-.46,-.22,-.20,-.24,-.22,-.45,-.29,-.37,-.39,-.63,-.36,-.29,-.30
1895,-.71,-.75,-.37,-.22,-.29,-.25,-.17,-.23,.03,-.03,-.04,-.22,-.27,-.28,-.58,-.29,-.22,-.01
1896,-.42,-.20,-.47,-.59,-.20,.03,.00,-.05,-.03,.16,-.23,-.16,-.18,-.19,-.28,-.42,-.01,-.04
1897,-.36,-.33,-.37,-.04,.08,-.11,.01,-.07,-.02,-.12,-.24,-.27,-.15,-.14,-.28,-.11,-.06,-.13
1898,.04,-.44,-.76,-.30,-.30,-.10,-.13,-.15,-.16,-.34,-.44,-.25,-.28,-.28,-.22,-.45,-.12,-.31
1899,-.12,-.66,-.51,-.19,-.25,-.37,-.19,-.02,.00,.07,.39,-.47,-.19,-.17,-.34,-.32,-.19,.16
1900,-.59,-.05,.13,-.13,-.02,-.14,-.13,-.07,.03,.26,-.14,.00,-.07,-.11,-.37,-.01,-.11,.05
1901,-.33,.08,.36,.12,-.11,.04,.03,-.12,-.25,-.30,-.18,-.38,-.09,-.05,-.08,.12,-.02,-.24
1902,-.15,.12,-.37,-.40,-.44,-.44,-.31,-.31,-.31,-.32,-.50,-.64,-.34,-.32,-.14,-.40,-.35,-.38
1903,-.23,.18,-.12,-.46,-.49,-.51,-.46,-.58,-.47,-.47,-.43,-.55,-.38,-.39,-.23,-.36,-.52,-.45
1904,-.82,-.57,-.41,-.56,-.48,-.50,-.60,-.52,-.56,-.36,-.10,-.33,-.49,-.50,-.65,-.48,-.54,-.34
1905,-.49,-.79,-.22,-.45,-.31,-.31,-.23,-.23,-.13,-.23,.08,-.24,-.30,-.30,-.54,-.33,-.25,-.10
1906,-.54,-.56,-.16,.07,-.22,-.09,-.26,-.11,-.19,-.13,-.38,.02,-.21,-.23,-.45,-.10,-.15,-.23
1907,-.53,-.71,-.26,-.47,-.59,-.50,-.40,-.35,-.35,-.18,-.58,-.57,-.46,-.41,-.40,-.44,-.42,-.37
1908,-.52,-.23,-.66,-.47,-.35,-.35,-.39,-.55,-.29,-.44,-.58,-.53,-.45,-.45,-.44,-.50,-.43,-.43
1909,-.85,-.46,-.60,-.67,-.50,-.51,-.41,-.29,-.30,-.27,-.09,-.53,-.46,-.46,-.61,-.59,-.40,-.22
1910,-.39,-.41,-.48,-.36,-.31,-.43,-.38,-.40,-.36,-.26,-.55,-.78,-.43,-.41,-.44,-.39,-.41,-.39
1911,-.73,-.57,-.59,-.42,-.47,-.32,-.37,-.40,-.30,-.11,-.11,-.29,-.39,-.43,-.69,-.49,-.36,-.17
1912,-.34,-.10,-.54,-.20,-.14,-.18,-.54,-.75,-.70,-.81,-.48,-.55,-.44,-.42,-.24,-.29,-.49,-.66
1913,-.56,-.57,-.44,-.50,-.60,-.56,-.56,-.47,-.43,-.41,-.11,.11,-.42,-.48,-.56,-.51,-.53,-.32
1914,.19,-.10,-.30,-.36,-.23,-.27,-.36,-.22,-.23,.00,-.25,-.11,-.19,-.17,.07,-.29,-.28,-.16
1915,-.18,-.02,-.21,.07,-.03,-.09,-.05,-.13,-.13,-.27,-.01,-.14,-.10,-.10,-.10,-.06,-.09,-.14
1916,.01,-.10,-.37,-.33,-.31,-.42,-.29,-.30,-.40,-.25,-.35,-1.09,-.35,-.27,-.08,-.34,-.33,-.33
1917,-.55,-.62,-.67,-.55,-.72,-.47,-.31,-.38,-.22,-.56,-.21,-1.06,-.53,-.53,-.75,-.65,-.39,-.33
1918,-.56,-.38,-.22,-.60,-.52,-.41,-.37,-.32,-.21,-.02,-.20,-.52,-.36,-.41,-.67,-.45,-.37,-.14
1919,-.37,-.37,-.35,-.23,-.43,-.40,-.32,-.28,-.12,-.06,-.46,-.53,-.32,-.32,-.42,-.33,-.33,-.21
1920,-.07,-.18,.09,-.22,-.20,-.24,-.21,-.26,-.28,-.37,-.42,-.63,-.25,-.24,-.26,-.11,-.24,-.36
1921,.27,-.07,-.05,-.14,-.21,-.11,.00,-.22,-.11,.04,-.05,-.10,-.06,-.11,-.15,-.13,-.11,-.04
1922,-.36,-.61,-.05,-.16,-.19,-.15,-.23,-.29,-.34,-.28,-.09,-.11,-.24,-.24,-.36,-.13,-.22,-.24
1923,-.20,-.41,-.39,-.51,-.38,-.17,-.22,-.20,-.10,.14,.24,.13,-.17,-.19,-.24,-.43,-.20,.09
1924,-.24,-.19,.07,-.26,-.05,-.14,-.13,-.20,-.17,-.19,.15,-.34,-.14,-.10,-.10,-.08,-.16,-.07
1925,-.23,-.34,-.18,-.14,-.21,-.23,-.23,-.11,.03,-.05,.24,.29,-.10,-.15,-.30,-.18,-.19,.07
1926,.53,.27,.38,-.10,-.19,-.15,-.13,-.06,-.01,.10,.19,-.26,.05,.09,.36,.03,-.11,.09
1927,-.26,-.07,-.42,-.27,-.12,-.10,-.01,-.08,.09,.28,.16,-.36,-.10,-.09,-.20,-.27,-.06,.18
1928,.30,.14,-.25,-.30,-.14,-.27,-.07,-.15,-.08,-.04,.07,-.05,-.07,-.09,.03,-.23,-.16,-.02
1929,-.55,-.80,-.16,-.31,-.27,-.34,-.29,-.13,-.15,.04,.00,-.63,-.30,-.25,-.47,-.24,-.25,-.04
1930,-.09,-.18,.17,-.15,-.18,-.10,.03,.09,.04,.11,.42,.08,.02,-.04,-.30,-.05,.01,.19
1931,.05,-.28,.01,-.15,-.12,.18,.11,.11,.19,.31,.15,.03,.05,.05,-.05,-.09,.14,.21
1932,.40,-.20,-.21,.11,-.11,-.14,-.12,-.09,.10,.13,-.29,-.17,-.05,-.03,.08,-.07,-.12,-.02
1933,-.36,-.37,-.30,-.18,-.25,-.29,-.12,-.16,-.23,-.11,-.22,-.56,-.26,-.23,-.30,-.25,-.19,-.19
1934,-.21,.32,-.33,-.27,.05,-.03,-.02,-.08,-.13,.11,.28,.17,-.01,-.07,-.15,-.18,-.04,.09
1935,-.39,.60,.07,-.31,-.32,-.14,-.05,-.06,-.03,.10,-.34,-.20,-.09,-.06,.13,-.19,-.08,-.09
1936,-.29,-.50,-.13,-.05,-.02,.06,.13,.04,.06,.04,.06,.13,-.04,-.07,-.33,-.07,.08,.06
1937,-.01,.28,-.16,-.07,.08,.14,.14,.16,.34,.33,.26,-.08,.12,.13,.13,-.05,.15,.31
1938,.25,.19,.32,.29,.01,-.09,-.03,.09,.19,.26,.25,-.30,.12,.14,.12,.21,-.01,.23
1939,-.01,-.02,-.25,-.06,-.03,-.02,.02,.06,.14,.08,.23,.82,.08,-.01,-.11,-.11,.02,.15
1940,-.20,.24,.16,.31,.13,.09,.15,.03,.22,.22,.32,.30,.16,.21,.29,.20,.09,.25
1941,.26,.52,.10,.16,.18,.18,.23,.17,.11,.47,.21,.17,.23,.24,.36,.15,.20,.26
1942,.31,-.08,.08,.11,.11,.10,-.01,-.10,.06,.22,.22,.16,.10,.10,.13,.10,.00,.17
1943,-.15,.30,-.08,.22,.17,-.10,-.03,.10,.14,.43,.35,.39,.14,.13,.10,.10,-.01,.31
1944,.60,.46,.32,.17,.23,.17,.14,.14,.37,.42,.18,-.03,.26,.30,.48,.24,.15,.32
1945,.10,-.10,.09,.26,.06,.07,.04,.30,.20,.21,.09,-.25,.09,.11,-.01,.14,.14,.17
1946,.35,.19,.10,.30,.01,-.04,-.05,-.07,-.03,.02,.08,-.52,.03,.05,.10,.14,-.05,.02
1947,-.14,-.02,.31,.24,.02,.00,-.05,-.08,-.03,.36,.17,-.09,.06,.02,-.23,.19,-.04,.17
1948,.31,-.17,-.30,-.03,.17,.05,.01,.01,-.02,.03,.06,-.36,-.02,.00,.02,-.05,.02,.03
1949,.28,-.15,.02,-.03,.00,-.18,-.13,-.05,-.09,.07,.04,-.23,-.04,-.05,-.08,.00,-.12,.01
1950,-.43,-.31,.06,-.23,-.04,-.06,-.21,-.24,-.11,-.10,-.39,-.09,-.18,-.19,-.32,-.07,-.17,-.20
1951,-.36,-.54,-.18,.07,.17,.00,.09,.21,.32,.26,.11,.34,.04,.01,-.33,.02,.10,.23
1952,.17,.15,-.24,.15,.15,.15,.13,.04,.14,-.02,-.23,.03,.05,.08,.22,.02,.11,-.04
1953,.25,.36,.26,.42,.23,.22,.21,.17,.16,.25,.04,.18,.23,.22,.21,.30,.20,.15
1954,-.30,-.05,-.17,-.07,-.12,-.04,-.11,.00,.08,.08,.30,-.18,-.05,-.02,-.06,-.12,-.05,.16
1955,.42,-.16,-.47,-.24,-.14,-.09,-.06,.03,-.02,.11,-.35,-.33,-.11,-.10,.03,-.28,-.04,-.09
1956,-.12,-.36,-.28,-.26,-.33,-.20,-.23,-.27,-.34,-.30,-.30,-.16,-.26,-.28,-.27,-.29,-.24,-.32
1957,-.17,-.07,-.12,-.10,-.07,.11,.11,.17,.15,.08,.12,.27,.04,.00,-.13,-.10,.13,.12
1958,.71,.32,.21,.06,.13,.04,.04,.14,.06,.08,.06,.18,.17,.18,.43,.14,.08,.07
1959,.24,.18,.32,.20,.03,.14,.04,.07,.10,-.06,.01,.08,.11,.12,.20,.18,.08,.02
1960,.13,.47,-.41,-.13,.04,.18,.08,.10,.12,.06,-.09,.39,.08,.05,.23,-.16,.12,.03
1961,.16,.27,.20,.13,.04,.19,.07,.08,-.04,-.04,.08,-.15,.08,.13,.28,.12,.11,.00
1962,.31,.37,.34,.23,.07,-.10,.13,.06,.00,.14,.16,.15,.15,.13,.18,.21,.03,.10
1963,.10,.53,-.12,.05,-.03,-.02,.12,.18,.14,.42,.46,.08,.16,.16,.26,-.03,.10,.34
1964,-.02,-.07,-.34,-.29,-.09,-.07,-.11,-.22,-.28,-.31,-.21,-.28,-.19,-.16,-.01,-.24,-.13,-.27
1965,-.01,-.37,-.04,-.26,-.10,-.20,-.16,-.18,-.19,-.02,.06,-.04,-.13,-.15,-.22,-.13,-.18,-.05
1966,-.20,.10,.01,-.22,-.01,.06,.12,.16,.09,-.08,.01,-.08,.00,.00,-.05,-.07,.11,.01
1967,-.14,-.38,.21,.06,.23,-.05,.05,.06,-.02,.30,.02,.05,.03,.02,-.20,.17,.02,.10
1968,-.29,-.18,.47,.01,-.04,-.03,-.08,-.09,-.04,.03,-.17,-.29,-.06,-.03,-.14,.14,-.06,-.06
1969,-.42,-.42,-.15,.06,.13,-.04,.07,.04,.05,.03,.16,.36,-.01,-.07,-.38,.01,.02,.08
1970,-.02,.31,-.07,.00,-.03,.00,-.03,-.06,-.04,-.16,.03,-.29,-.03,.02,.22,-.03,-.03,-.06
1971,-.13,-.29,-.25,-.20,-.13,-.14,-.13,-.18,-.14,-.16,.01,-.15,-.16,-.17,-.24,-.19,-.15,-.10
1972,-.57,-.52,-.02,-.12,-.17,-.09,-.05,-.07,-.28,-.05,-.20,-.04,-.18,-.19,-.41,-.11,-.07,-.17
1973,.17,.43,.31,.17,.12,.16,.02,.02,-.07,-.01,-.09,-.01,.10,.10,.19,.20,.06,-.06
1974,-.32,-.38,.02,-.11,-.18,-.20,-.13,-.11,-.17,-.25,-.23,-.29,-.20,-.17,-.24,-.09,-.14,-.22
1975,.11,.07,.13,.06,-.01,-.06,-.07,-.14,-.09,-.15,-.29,-.22,-.06,-.06,-.04,.06,-.09,-.18
1976,.07,-.11,-.32,.01,-.27,-.22,-.28,-.23,-.11,-.50,-.31,-.26,-.21,-.21,-.09,-.19,-.24,-.31
1977,-.15,.10,.26,.27,.22,.20,.06,.01,.14,-.03,.27,.01,.11,.09,-.10,.25,.09,.12
1978,.15,.14,.20,.06,-.08,-.15,-.08,-.13,.00,-.05,.17,.07,.02,.02,.10,.06,-.12,.04
1979,.03,-.34,.17,-.15,.01,.06,.04,.04,.17,.21,.24,.52,.08,.05,-.08,.01,.05,.21
1980,.22,.43,.07,.14,.23,.19,.13,.10,.08,.15,.20,.06,.17,.20,.39,.15,.14,.14
1981,.84,.62,.68,.38,.16,.30,.12,.18,.19,.25,.37,.58,.39,.35,.51,.41,.20,.27
1982,-.07,.16,.05,.13,.08,.02,.05,-.07,.07,.01,-.13,.36,.06,.07,.22,.09,.00,-.02
1983,.54,.36,.45,.09,.05,.12,.21,.25,.27,.10,.53,.13,.26,.28,.42,.20,.19,.30
1984,.33,.06,.21,-.06,.23,.12,.10,.04,-.02,.07,-.12,-.41,.04,.09,.17,.13,.08,-.02
1985,.08,-.32,.00,-.06,.08,.04,-.10,-.02,.03,.01,.03,.15,-.01,-.05,-.22,.01,-.02,.02
1986,.35,.35,.24,.15,.19,.13,-.02,.04,.00,.05,.02,.09,.13,.14,.28,.19,.05,.02
1987,.29,.56,.01,.08,.23,.19,.28,.28,.43,.23,.09,.54,.27,.23,.31,.11,.25,.25
1988,.62,.44,.48,.46,.43,.41,.41,.28,.28,.25,.04,.47,.38,.39,.53,.46,.37,.19
1989,.10,.47,.43,.35,.22,.27,.32,.29,.28,.28,.12,.37,.29,.30,.35,.33,.29,.23
1990,.44,.50,1.16,.66,.48,.49,.31,.37,.41,.47,.48,.38,.51,.51,.44,.76,.39,.45
1991,.56,.53,.46,.55,.38,.45,.46,.35,.39,.30,.36,.21,.42,.43,.49,.47,.42,.35
1992,.54,.49,.50,.10,.19,.05,-.08,-.07,-.19,-.13,-.08,.23,.13,.13,.41,.26,-.03,-.13
1993,.42,.53,.40,.21,.31,.23,.12,.02,-.06,.14,-.14,.19,.20,.20,.40,.31,.12,-.02
1994,.37,-.01,.44,.49,.38,.43,.35,.31,.30,.54,.53,.34,.37,.36,.19,.44,.36,.46
1995,.75,1.17,.58,.75,.41,.49,.41,.57,.44,.62,.58,.32,.59,.59,.75,.58,.49,.55
1996,.30,.59,.31,.23,.39,.26,.29,.19,.07,.04,.38,.40,.29,.28,.40,.31,.25,.17
1997,.38,.57,.78,.53,.44,.50,.44,.47,.55,.67,.60,.53,.54,.53,.45,.58,.47,.61
1998,.67,1.08,.74,.89,.66,.75,.78,.75,.61,.58,.59,.75,.74,.72,.76,.76,.76,.59
1999,.60,1.01,.32,.55,.42,.37,.36,.35,.41,.43,.56,.71,.51,.51,.79,.43,.36,.47
2000,.35,.88,.87,.88,.57,.47,.43,.49,.39,.31,.20,.30,.51,.55,.65,.77,.46,.30
2001,.55,.47,.78,.59,.63,.56,.65,.69,.56,.62,.96,.68,.64,.61,.44,.67,.63,.71
2002,1.00,1.08,1.14,.50,.52,.73,.70,.54,.61,.57,.78,.50,.72,.74,.92,.72,.66,.66
2003,.90,.52,.62,.60,.72,.56,.67,.85,.80,.98,.67,.97,.74,.70,.64,.65,.69,.82
2004,.70,.91,.89,.75,.56,.49,.51,.55,.62,.77,.96,.45,.68,.73,.86,.74,.52,.78
2005,.89,.68,.88,.91,.78,.81,.78,.71,.93,.95,1.02,.80,.84,.82,.67,.86,.77,.96
2006,.66,.90,.80,.62,.74,.79,.67,.66,.75,.96,.92,1.09,.80,.77,.79,.72,.71,.88
2007,1.33,.93,.92,1.06,.69,.65,.64,.71,.67,.83,.78,.72,.83,.86,1.12,.89,.67,.76
2008,.22,.52,1.10,.63,.58,.61,.58,.60,.59,.84,.93,.66,.66,.66,.49,.77,.60,.79
2009,.80,.68,.58,.68,.66,.69,.65,.71,.80,.77,.81,.69,.71,.71,.71,.64,.68,.79
2010,.79,.90,1.12,1.15,.92,.80,.84,.81,.65,.88,1.16,.55,.88,.89,.79,1.06,.82,.90
2011,.55,.61,.86,.81,.63,.73,.70,.68,.69,.88,.63,.77,.71,.69,.57,.76,.70,.73
2012,.63,.57,.69,1.02,.92,.88,.80,.70,.84,.85,.91,.48,.77,.80,.66,.88,.79,.87
2013,.79,.66,.81,.66,.76,.73,.69,.68,.69,.82,1.05,.80,.76,.74,.64,.74,.70,.86
2014,.96,.68,1.15,1.04,.89,.83,.74,.90,.85,.97,.82,1.11,.91,.89,.81,1.03,.82,.88
2015,1.14,1.14,1.23,1.03,.97,1.05,.91,1.01,1.14,1.26,1.36,1.46,1.14,1.11,1.13,1.08,.99,1.25
2016,1.56,1.92,1.84,1.44,1.04,1.11,1.04,1.10,1.19,1.07,1.12,1.02,1.29,1.32,1.65,1.44,1.08,1.13
2017,1.30,1.48,1.45,1.16,.87,.92,.97,.98,.98,1.03,1.20,1.33,1.14,1.11,1.27,1.16,.95,1.07
2018,1.08,1.24,1.21,.93,.96,.84,.83,.84,.93,1.22,.93,1.09,1.01,1.03,1.22,1.03,.84,1.03
