Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.03,.03,.05,-.02,-.12,-.24,-.18,.06,-.05,-.14,-.02,.04,-.05,***,***,-.03,-.12,-.07
1881,-.11,-.09,.06,.10,.09,-.04,-.07,-.02,-.05,-.02,-.01,.07,-.01,-.01,-.05,.09,-.04,-.03
1882,.06,.07,.07,-.01,.00,-.13,-.04,.03,-.03,.02,.00,-.08,.00,.01,.07,.02,-.05,.00
1883,-.04,-.10,-.09,-.06,-.07,.01,-.06,-.04,-.08,-.06,-.04,-.05,-.06,-.06,-.07,-.08,-.03,-.06
1884,-.08,-.05,-.09,-.23,-.32,-.30,-.22,-.03,-.11,-.08,-.13,-.17,-.15,-.14,-.06,-.21,-.18,-.10
1885,-.20,-.24,-.30,-.33,-.29,-.41,-.33,-.19,-.17,-.10,-.13,-.11,-.23,-.24,-.20,-.31,-.31,-.13
1886,-.18,-.24,-.21,-.22,-.18,-.35,-.24,-.21,-.17,-.25,-.18,-.34,-.23,-.21,-.17,-.20,-.27,-.20
1887,-.39,-.47,-.31,-.35,-.36,-.27,-.24,-.13,-.27,-.25,-.27,-.24,-.29,-.30,-.40,-.34,-.21,-.26
1888,-.22,-.13,-.25,-.21,-.28,-.32,-.22,-.12,-.07,.01,.05,.13,-.13,-.17,-.20,-.25,-.22,.00
1889,.07,.02,.09,.00,.01,-.14,-.09,-.22,-.17,-.11,-.06,-.04,-.05,-.04,.07,.03,-.15,-.11
1890,-.24,-.34,-.36,-.37,-.43,-.32,-.29,-.37,-.39,-.40,-.27,-.19,-.33,-.32,-.21,-.39,-.33,-.35
1891,-.24,-.26,-.24,-.23,-.15,-.25,-.27,-.23,-.25,-.16,-.14,-.06,-.21,-.22,-.23,-.21,-.25,-.18
1892,-.11,-.08,-.14,-.21,-.22,-.35,-.27,-.21,-.13,-.03,-.04,-.13,-.16,-.15,-.08,-.19,-.28,-.06
1893,-.14,-.20,-.18,-.29,-.29,-.35,-.19,-.20,-.19,-.10,-.08,-.06,-.19,-.19,-.16,-.25,-.25,-.12
1894,-.20,-.23,-.28,-.36,-.36,-.39,-.27,-.22,-.23,-.17,-.03,-.08,-.24,-.23,-.17,-.33,-.29,-.14
1895,-.16,-.09,-.19,-.25,-.23,-.22,-.16,-.07,-.19,-.11,-.22,-.07,-.16,-.16,-.11,-.22,-.15,-.17
1896,-.07,-.07,-.03,-.01,-.14,-.28,-.04,-.01,-.01,.11,.10,.12,-.03,-.04,-.07,-.06,-.11,.06
1897,.08,.05,.11,.01,-.15,-.18,-.12,-.12,-.11,-.10,-.12,-.10,-.06,-.04,.08,-.01,-.14,-.11
1898,-.08,-.15,-.26,-.35,-.33,-.29,-.34,-.34,-.26,-.32,-.30,-.24,-.27,-.26,-.11,-.32,-.32,-.29
1899,-.24,-.14,-.16,-.21,-.20,-.27,-.15,-.10,-.05,-.15,-.12,-.09,-.16,-.17,-.21,-.19,-.17,-.11
1900,-.14,.01,-.09,-.11,-.16,-.10,-.11,-.11,-.09,-.04,-.01,-.12,-.09,-.09,-.07,-.12,-.11,-.05
1901,-.12,-.14,-.18,-.17,-.20,-.27,-.30,-.25,-.17,-.30,-.14,-.16,-.20,-.20,-.13,-.18,-.27,-.20
1902,-.23,-.18,-.20,-.21,-.26,-.25,-.26,-.33,-.25,-.28,-.27,-.26,-.25,-.24,-.19,-.22,-.28,-.27
1903,-.27,-.26,-.33,-.39,-.40,-.41,-.30,-.38,-.49,-.50,-.46,-.50,-.39,-.37,-.26,-.37,-.36,-.48
1904,-.54,-.59,-.61,-.53,-.62,-.51,-.46,-.47,-.48,-.41,-.30,-.34,-.49,-.50,-.54,-.59,-.48,-.40
1905,-.29,-.38,-.21,-.25,-.32,-.27,-.33,-.20,-.21,-.25,-.25,-.10,-.25,-.27,-.34,-.26,-.27,-.24
1906,.00,-.02,-.15,-.14,-.25,-.31,-.22,-.27,-.33,-.24,-.37,-.34,-.22,-.20,-.04,-.18,-.26,-.31
1907,-.29,-.31,-.27,-.30,-.33,-.35,-.31,-.33,-.29,-.28,-.37,-.37,-.32,-.31,-.31,-.30,-.33,-.31
1908,-.33,-.37,-.40,-.42,-.45,-.46,-.39,-.36,-.42,-.45,-.41,-.44,-.41,-.40,-.36,-.42,-.40,-.43
1909,-.51,-.47,-.41,-.52,-.60,-.53,-.46,-.31,-.39,-.45,-.52,-.55,-.48,-.47,-.47,-.51,-.44,-.45
1910,-.49,-.46,-.53,-.43,-.37,-.30,-.30,-.31,-.35,-.50,-.53,-.53,-.42,-.43,-.50,-.44,-.30,-.46
1911,-.52,-.58,-.60,-.63,-.56,-.63,-.44,-.43,-.44,-.33,-.23,-.12,-.46,-.49,-.54,-.60,-.50,-.34
1912,-.16,-.12,-.14,-.16,-.26,-.32,-.32,-.32,-.31,-.31,-.26,-.29,-.25,-.23,-.13,-.19,-.32,-.30
1913,-.25,-.27,-.41,-.28,-.32,-.39,-.15,-.19,-.27,-.25,-.23,-.15,-.26,-.28,-.27,-.33,-.24,-.25
1914,-.09,-.10,-.13,-.20,-.21,-.25,-.12,-.05,-.01,-.06,-.08,-.03,-.11,-.12,-.12,-.18,-.14,-.05
1915,-.14,.03,.05,.07,-.07,-.29,-.13,-.24,-.19,-.20,-.22,-.17,-.12,-.11,-.05,.02,-.22,-.20
1916,-.16,-.14,-.17,-.25,-.31,-.49,-.41,-.20,-.23,-.28,-.44,-.51,-.30,-.27,-.16,-.24,-.37,-.32
1917,-.62,-.60,-.53,-.45,-.37,-.38,-.18,-.05,-.12,-.24,-.34,-.28,-.35,-.36,-.57,-.45,-.20,-.24
1918,-.27,-.24,-.26,-.29,-.38,-.28,-.25,-.27,-.08,-.06,.02,-.01,-.20,-.22,-.26,-.31,-.27,-.04
1919,-.01,-.07,-.03,-.02,-.11,-.31,-.23,-.37,-.30,-.30,-.34,-.27,-.20,-.17,-.03,-.05,-.30,-.31
1920,-.34,-.24,-.22,-.27,-.30,-.45,-.37,-.19,-.07,-.14,-.09,-.21,-.24,-.25,-.28,-.27,-.34,-.10
1921,-.29,-.29,-.38,-.44,-.34,-.39,-.25,-.22,-.20,-.05,-.18,-.21,-.27,-.27,-.26,-.38,-.29,-.14
1922,-.28,-.25,-.19,-.30,-.45,-.47,-.26,-.30,-.28,-.34,-.17,-.24,-.29,-.29,-.25,-.31,-.34,-.26
1923,-.36,-.31,-.28,-.27,-.29,-.31,-.33,-.36,-.41,-.32,-.18,-.14,-.30,-.31,-.31,-.28,-.33,-.31
1924,-.17,-.26,-.18,-.34,-.29,-.29,-.35,-.46,-.42,-.46,-.52,-.47,-.35,-.32,-.19,-.27,-.37,-.47
1925,-.49,-.41,-.31,-.34,-.36,-.40,-.30,-.17,-.32,-.27,-.12,-.07,-.30,-.33,-.46,-.34,-.29,-.23
1926,-.11,-.11,-.12,-.11,-.21,-.26,-.31,-.17,-.20,-.25,-.25,-.27,-.20,-.18,-.10,-.15,-.24,-.23
1927,-.25,-.26,-.29,-.32,-.36,-.40,-.29,-.31,-.26,-.25,-.19,-.27,-.29,-.29,-.26,-.32,-.33,-.23
1928,-.27,-.27,-.27,-.22,-.43,-.43,-.29,-.29,-.26,-.28,-.22,-.28,-.29,-.29,-.27,-.31,-.33,-.25
1929,-.35,-.37,-.45,-.46,-.49,-.45,-.34,-.42,-.27,-.25,-.20,-.41,-.37,-.36,-.34,-.47,-.40,-.24
1930,-.48,-.35,-.32,-.32,-.26,-.28,-.37,-.29,-.24,-.23,-.07,-.17,-.28,-.30,-.41,-.30,-.32,-.18
1931,-.21,-.17,-.14,-.25,-.24,-.30,-.15,-.16,-.30,-.25,-.38,-.21,-.23,-.23,-.18,-.21,-.20,-.31
1932,-.12,-.16,-.17,-.22,-.25,-.42,-.33,-.36,-.31,-.33,-.23,-.33,-.27,-.26,-.16,-.21,-.37,-.29
1933,-.30,-.29,-.28,-.32,-.32,-.37,-.31,-.33,-.31,-.30,-.38,-.36,-.32,-.32,-.31,-.30,-.34,-.33
1934,-.30,-.42,-.33,-.33,-.27,-.26,-.17,-.13,-.19,-.27,-.21,-.25,-.26,-.27,-.36,-.31,-.19,-.22
1935,-.27,-.32,-.32,-.40,-.28,-.39,-.39,-.37,-.36,-.24,-.20,-.19,-.31,-.31,-.28,-.33,-.38,-.27
1936,-.27,-.26,-.31,-.35,-.33,-.48,-.29,-.30,-.24,-.11,-.13,-.20,-.27,-.27,-.24,-.33,-.36,-.16
1937,-.26,-.21,-.20,-.27,-.24,-.23,-.23,-.12,-.11,-.17,-.08,-.15,-.19,-.19,-.22,-.24,-.19,-.12
1938,-.21,-.23,-.17,-.22,-.22,-.28,-.18,-.23,-.18,-.06,-.20,-.16,-.20,-.19,-.20,-.21,-.23,-.15
1939,-.15,-.16,-.15,-.14,-.09,-.14,-.17,-.19,-.27,-.15,-.11,.07,-.14,-.16,-.16,-.13,-.17,-.18
1940,.11,.02,.14,.06,.07,.08,.10,.08,.07,-.04,.05,.27,.08,.07,.07,.09,.09,.02
1941,.18,.15,.09,.21,.13,.08,.21,.13,-.05,.22,.29,.26,.16,.16,.20,.14,.14,.16
1942,.21,.13,.11,.11,.06,.00,-.01,.02,-.15,-.26,-.09,-.04,.01,.03,.20,.09,.00,-.17
1943,.06,-.06,-.10,-.11,-.09,-.03,.18,-.10,-.03,.00,.03,.08,-.01,-.02,-.01,-.10,.02,.00
1944,.09,.06,.21,.22,.16,.24,.25,.22,.24,.09,.01,.09,.16,.16,.08,.20,.24,.11
1945,.10,.07,.04,.11,.03,-.06,.03,.25,.25,.16,.07,.08,.09,.09,.08,.06,.07,.16
1946,-.05,-.04,-.09,-.19,-.17,-.38,-.23,-.28,-.13,-.15,-.19,-.17,-.17,-.15,.00,-.15,-.30,-.16
1947,-.10,-.13,-.17,-.11,-.08,.02,-.09,-.11,-.24,-.27,-.15,-.24,-.14,-.13,-.13,-.12,-.06,-.22
1948,-.19,-.15,-.22,-.20,-.15,-.15,-.24,-.27,-.23,-.19,-.30,-.10,-.20,-.21,-.20,-.19,-.22,-.24
1949,-.11,-.19,-.08,-.19,-.18,-.29,-.17,-.20,-.20,-.21,-.23,-.23,-.19,-.18,-.13,-.15,-.22,-.22
1950,-.24,-.26,-.21,-.18,-.18,-.02,-.02,-.11,-.16,-.36,-.37,-.33,-.20,-.20,-.24,-.19,-.05,-.30
1951,-.34,-.33,-.24,-.34,-.18,-.06,-.03,-.10,-.14,-.14,-.13,-.06,-.17,-.20,-.33,-.25,-.06,-.14
1952,.09,.06,.06,-.12,-.19,-.22,-.06,.03,-.01,.00,-.07,-.05,-.04,-.04,.03,-.08,-.08,-.02
1953,-.10,-.08,-.04,-.06,-.04,-.02,-.20,-.05,-.08,-.12,-.14,-.12,-.09,-.08,-.07,-.05,-.09,-.11
1954,-.25,-.20,-.13,-.26,-.32,-.32,-.29,-.34,-.29,-.18,-.21,-.27,-.26,-.24,-.19,-.24,-.32,-.23
1955,-.17,-.20,-.23,-.21,-.30,-.17,-.22,-.05,-.22,-.23,-.16,-.29,-.20,-.20,-.21,-.24,-.14,-.20
1956,-.22,-.17,-.19,-.30,-.31,-.14,-.03,-.26,-.08,-.19,-.06,-.01,-.16,-.19,-.23,-.27,-.15,-.11
1957,-.06,-.02,.00,.08,.24,.20,-.09,.13,.02,-.05,.01,.05,.04,.04,-.03,.11,.08,.00
1958,.07,.15,.01,.00,-.01,-.19,.06,-.21,-.10,.00,-.02,-.17,-.03,-.01,.09,.00,-.11,-.04
1959,-.09,-.01,.03,.06,.05,-.10,.06,-.10,-.22,-.12,-.18,-.11,-.06,-.07,-.09,.05,-.05,-.17
1960,-.15,-.16,-.27,-.15,-.19,-.26,-.14,-.07,.02,.07,-.15,-.03,-.12,-.13,-.14,-.20,-.16,-.02
1961,-.02,.09,-.04,.11,.18,.03,-.08,-.02,.17,.03,-.02,-.16,.02,.03,.01,.09,-.02,.06
1962,-.17,-.10,-.11,-.14,-.15,.18,-.09,-.09,.02,-.13,-.01,-.15,-.08,-.08,-.14,-.13,.00,-.04
1963,-.14,-.13,-.16,-.16,-.05,.12,.05,.35,.26,-.11,-.14,-.09,-.02,-.02,-.14,-.12,.17,.00
1964,-.13,-.17,-.12,-.33,-.39,.03,.05,-.20,-.30,-.31,-.22,-.32,-.20,-.18,-.13,-.28,-.04,-.27
1965,-.14,.03,-.17,-.11,-.17,.03,-.08,.13,-.11,-.07,-.18,-.08,-.08,-.10,-.14,-.15,.03,-.12
1966,-.12,-.11,.10,-.02,-.20,-.03,.07,-.30,-.12,-.21,-.04,-.02,-.09,-.09,-.10,-.04,-.09,-.13
1967,.03,-.03,-.13,-.15,.07,-.11,-.03,-.04,-.10,-.13,-.15,-.12,-.07,-.07,-.01,-.07,-.06,-.13
1968,-.22,-.12,-.06,-.12,-.22,-.12,-.15,-.08,-.31,.19,.12,.06,-.09,-.10,-.15,-.13,-.12,.00
1969,.22,.15,.18,.32,.26,.15,-.10,.03,.13,.23,.10,.20,.16,.14,.14,.25,.03,.15
1970,.22,.13,.23,.18,-.05,-.03,-.01,-.11,.26,.26,.01,.05,.10,.11,.18,.12,-.05,.18
1971,.09,-.10,-.09,.04,.02,-.24,-.09,.12,.06,.03,-.11,-.04,-.03,-.02,.01,-.01,-.07,-.01
1972,.10,.20,.07,.13,.11,.22,.08,.41,.33,.23,.29,.45,.22,.18,.09,.10,.24,.28
1973,.42,.19,.23,.35,.40,.20,.19,.06,.26,.29,.20,-.11,.22,.27,.35,.32,.15,.25
1974,.03,-.19,-.14,-.12,.13,.07,.04,.32,-.06,.08,.09,.10,.03,.01,-.09,-.04,.14,.04
1975,.02,.06,.13,.03,.31,.06,.06,-.23,.03,-.05,-.03,-.13,.02,.04,.06,.16,-.04,-.02
1976,-.10,-.01,-.10,-.18,-.20,-.09,.08,-.06,-.05,-.02,.25,.47,.00,-.05,-.08,-.16,-.02,.06
1977,.54,.34,.24,.27,.38,.29,.35,.30,-.11,.09,.08,.04,.23,.27,.45,.30,.31,.02
1978,-.01,.14,.22,.25,.21,.11,.15,-.20,.11,.05,.15,.14,.11,.10,.06,.22,.02,.10
1979,.22,.15,.20,.42,.11,.21,.01,.24,.34,.28,.33,.42,.24,.22,.17,.24,.16,.32
1980,.40,.42,.54,.54,.49,.17,.44,.37,.31,.21,.38,.33,.38,.39,.41,.52,.33,.30
1981,.25,.19,.29,.25,.33,.33,.56,.46,.16,.04,.11,.29,.27,.28,.26,.29,.45,.10
1982,.28,.16,-.06,.07,.24,.11,.22,.22,.23,.26,.44,.50,.22,.20,.24,.08,.18,.31
1983,.50,.45,.40,.54,.68,.30,.16,.42,.51,.22,.12,.22,.38,.40,.48,.54,.29,.29
1984,.27,.29,.38,.25,.44,.01,.26,.29,.45,.26,.25,.33,.29,.28,.26,.36,.19,.32
1985,.36,.20,.36,.28,.26,.32,.09,.31,.27,.22,.15,.16,.25,.26,.30,.30,.24,.22
