Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.37,-.16,-.01,-.94,-.49,-.23,-.20,-.11,-.04,.05,.66
1881,-.09,-.17,-.01,-.31,.06,-.07,-.80,-.47,-.12,.04,.09,-.06,-.07,.59
1882,-.10,-.19,.00,-.26,-.06,.02,-1.39,-.27,-.06,-.08,-.04,.03,.04,.62
1883,-.18,-.31,-.06,-.35,-.20,.01,-.32,-.60,-.20,-.23,-.16,-.01,.07,.49
1884,-.29,-.43,-.15,-.55,-.20,-.13,-1.30,-.61,-.38,-.22,-.18,-.19,-.02,.64
1885,-.31,-.39,-.23,-.58,-.15,-.25,-1.16,-.68,-.40,-.09,-.21,-.31,-.15,.81
1886,-.31,-.40,-.23,-.50,-.24,-.22,-1.24,-.49,-.38,-.24,-.25,-.22,-.20,.58
1887,-.34,-.39,-.29,-.45,-.31,-.28,-1.55,-.47,-.23,-.30,-.33,-.28,-.26,.31
1888,-.17,-.22,-.13,-.40,.08,-.29,-1.45,-.43,-.18,.07,.09,-.32,-.23,.15
1889,-.10,-.16,-.05,-.25,.06,-.16,-.83,-.19,-.18,.00,.11,-.16,-.15,.44
1890,-.36,-.40,-.33,-.44,-.41,-.22,-1.26,-.53,-.23,-.33,-.49,-.18,-.27,.14
1891,-.23,-.25,-.21,-.39,-.12,-.21,-1.25,-.28,-.29,-.03,-.20,-.18,-.24,-.16
1892,-.26,-.35,-.16,-.37,-.30,-.08,-1.22,-.57,-.08,-.33,-.27,.02,-.22,.08
1893,-.31,-.43,-.19,-.44,-.38,-.07,-.83,-.49,-.32,-.42,-.35,.03,-.21,-.05
1894,-.30,-.37,-.24,-.29,-.35,-.25,-1.29,-.25,-.09,-.48,-.22,-.16,-.35,-.38
1895,-.22,-.27,-.16,-.35,-.09,-.26,-.89,-.44,-.16,-.15,-.03,-.21,-.32,-.59
1896,-.11,-.18,-.03,-.33,.10,-.15,-1.18,-.34,-.12,.05,.14,-.15,-.14,.25
1897,-.11,-.15,-.06,-.31,.14,-.24,-.68,-.38,-.18,.10,.19,-.20,-.28,.40
1898,-.27,-.28,-.27,-.30,-.26,-.27,-1.17,-.15,-.17,-.24,-.28,-.29,-.21,.37
1899,-.18,-.19,-.16,-.18,-.15,-.20,-1.02,.01,-.10,-.20,-.10,-.17,-.22,.57
1900,-.08,-.07,-.09,-.16,.14,-.31,-.57,-.07,-.11,.07,.20,-.30,-.29,.26
