Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.76,-.35,-.42,-.60,-.30,-.42,-.41,.13,-.44,-.60,-.45,-.47,-.43,***,***,-.44,-.24,-.50
1881,-.74,-.56,-.31,-.21,.02,-1.05,-.47,-.19,-.29,-.42,-.50,-.09,-.40,-.43,-.59,-.16,-.57,-.40
1882,.18,-.05,-.03,-.54,-.33,-.97,-.66,-.06,-.02,-.25,-.34,-.62,-.31,-.26,.01,-.30,-.56,-.20
1883,-.62,-.89,-.40,-.26,-.30,.50,.04,-.10,-.40,-.51,-.63,-.33,-.32,-.35,-.71,-.32,.15,-.51
1884,-.56,-.30,-.36,-.90,-1.16,-.79,-.81,.19,-.33,-.73,-.78,-.97,-.63,-.57,-.40,-.81,-.47,-.61
1885,-.88,-.75,-.88,-.83,-.46,-.89,-.59,-.12,-.12,.01,-.34,.05,-.49,-.57,-.87,-.72,-.54,-.15
1886,-.72,-.79,-.65,-.59,-.53,-.80,-.37,-.70,-.39,-.82,-.46,-.72,-.63,-.56,-.49,-.59,-.62,-.56
1887,-.85,-1.25,-.57,-.82,-.85,-.65,-.39,-.24,-.60,-.53,-.90,-.64,-.69,-.70,-.94,-.75,-.43,-.68
1888,-.71,-.79,-.88,-.29,-.74,-.53,-.34,-.33,-.39,-.24,-.04,-.16,-.45,-.49,-.71,-.64,-.40,-.22
1889,-.30,.17,.06,.13,.11,-.29,-.41,-.59,-.36,-.19,-.43,-.39,-.21,-.19,-.10,.10,-.43,-.33
1890,-.59,-.62,-.60,-.49,-.89,-.56,-.56,-.57,-.32,-.25,-.76,-.52,-.56,-.55,-.53,-.66,-.56,-.44
1891,-.93,-1.03,-.48,-.62,-.46,-.53,-.68,-.55,-.46,-.52,-.50,.06,-.56,-.61,-.83,-.52,-.59,-.49
1892,-.61,-.29,-.57,-.69,-.64,-.54,-.36,-.24,-.45,-.30,-.60,-.58,-.49,-.44,-.28,-.63,-.38,-.45
1893,-1.41,-.98,-.57,-.64,-.72,-.66,-.10,-.32,-.22,-.05,-.10,-.35,-.51,-.53,-.99,-.65,-.36,-.12
1894,-.74,-.60,-.37,-.62,-.63,-.46,-.36,-.29,-.39,-.06,-.13,-.15,-.40,-.42,-.56,-.54,-.37,-.19
1895,-.68,-.76,-.50,-.45,-.30,-.28,-.53,-.19,-.14,-.09,-.15,-.08,-.35,-.35,-.53,-.42,-.33,-.13
1896,-.23,-.29,-.52,-.46,-.41,-.44,-.19,-.36,-.09,-.01,-.43,-.20,-.30,-.29,-.20,-.47,-.33,-.18
1897,-.24,-.46,-.28,-.08,-.23,-.14,-.09,-.29,-.13,-.19,.02,-.20,-.19,-.19,-.30,-.20,-.17,-.10
1898,-.10,-.43,-.80,-.57,-.64,-.30,-.35,-.22,-.01,-.39,-.48,-.21,-.37,-.37,-.24,-.67,-.29,-.29
1899,-.41,-.59,-.36,-.23,-.38,-.53,-.29,-.27,-.02,-.27,-.01,-.20,-.30,-.30,-.40,-.33,-.36,-.10
1900,-.51,-.03,-.17,-.15,-.16,-.09,-.34,-.14,-.04,.19,-.07,-.05,-.13,-.14,-.25,-.16,-.19,.02
1901,-.19,-.09,-.10,-.06,-.18,.06,-.21,-.18,.06,-.14,-.12,-.19,-.11,-.10,-.11,-.12,-.11,-.07
1902,-.29,-.03,-.17,-.19,-.31,-.33,-.42,-.49,-.39,-.42,-.48,-.54,-.34,-.31,-.17,-.22,-.41,-.43
