Station: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.94,-.75,-.74,-.86,-.31,-.32,-.16,-.27,-.44,-.48,-.82,-1.06,-.59,***,***,-.64,-.25,-.58
1881,-.64,-.73,-.34,-.25,-.24,-.76,-.30,-.09,-.24,-.61,-.58,-.53,-.44,-.49,-.81,-.28,-.39,-.48
1882,.27,.22,-.10,-.61,-.57,-.51,-.48,-.16,-.33,-.80,-.90,-1.08,-.42,-.37,-.01,-.43,-.38,-.68
1883,-1.10,-1.20,-.56,-.54,-.58,-.27,-.19,-.42,-.48,-.45,-.84,-.71,-.61,-.64,-1.13,-.56,-.30,-.59
1884,-.79,-.69,-1.25,-1.17,-.86,-.87,-.64,-.75,-.78,-.75,-.90,-.81,-.85,-.84,-.73,-1.09,-.75,-.81
1885,-1.74,-.61,-.58,-.79,-.85,-.62,-.37,-.54,-.50,-.76,-.59,-.10,-.67,-.73,-1.05,-.74,-.51,-.62
1886,-1.48,-1.26,-1.00,-.51,-.51,-.57,-.07,-.41,-.35,-.47,-.76,-.34,-.64,-.62,-.95,-.67,-.35,-.53
1887,-1.69,-1.14,-.67,-.79,-.33,-.32,-.12,-.66,-.31,-.66,-.53,-.96,-.68,-.63,-1.05,-.60,-.37,-.50
1888,-1.26,-1.28,-1.18,-.59,-.60,-.45,-.21,-.42,-.38,-.34,-.35,-.75,-.65,-.67,-1.17,-.79,-.36,-.35
1889,-.95,.01,-.11,.25,.03,-.10,-.16,-.24,-.40,-.58,-.96,-.78,-.33,-.33,-.56,.06,-.17,-.65
1890,-.93,-.66,-.70,-.52,-.73,-.31,-.18,-.29,-.22,-.06,-.88,-.61,-.51,-.52,-.79,-.65,-.26,-.39
1891,-.94,-1.16,-.31,-.55,-.43,-.28,-.21,-.17,-.05,-.48,-.94,.08,-.45,-.51,-.90,-.43,-.22,-.49
1892,-.82,-.31,-.95,-.78,-.48,.02,-.30,-.29,-.03,-.10,-1.01,-.87,-.49,-.41,-.35,-.74,-.19,-.38
1893,-2.33,-1.35,-.32,-.32,-.54,-.14,.04,-.13,-.13,-.02,-.19,-.74,-.51,-.52,-1.52,-.39,-.08,-.11
1894,-1.13,-.66,-.04,-.62,-.39,-.33,-.03,-.06,-.25,-.27,-.72,-.41,-.41,-.44,-.84,-.35,-.14,-.41
1895,-1.23,-1.33,-.57,-.26,-.27,-.23,-.17,-.24,.08,-.24,-.12,-.43,-.42,-.42,-.99,-.37,-.21,-.09
1896,-.70,-.46,-.93,-.92,-.38,.12,.07,-.20,-.08,.05,-.60,-.59,-.39,-.37,-.53,-.74,.00,-.21
1897,-.58,-.52,-.68,-.15,.11,-.09,.06,.01,-.08,-.18,-.28,-.32,-.22,-.25,-.56,-.24,-.01,-.18
1898,.02,-.63,-1.03,-.31,-.44,-.08,-.10,.07,-.06,-.34,-.59,-.31,-.32,-.32,-.31,-.59,-.04,-.33
1899,-.14,-.88,-.55,-.08,-.21,-.27,-.01,.08,.05,.12,.55,-.66,-.17,-.14,-.44,-.28,-.07,.24
1900,-.88,-.14,.17,-.25,-.06,-.11,-.15,.03,.00,.28,-.17,-.01,-.11,-.16,-.56,-.05,-.08,.04
1901,-.56,-.01,.39,.24,-.16,.11,.19,-.01,-.14,-.21,-.30,-.46,-.08,-.04,-.19,.16,.10,-.22
1902,-.23,.16,-.42,-.53,-.59,-.49,-.36,-.29,-.32,-.47,-.73,-.89,-.43,-.39,-.18,-.51,-.38,-.51
1903,-.31,.31,.09,-.51,-.56,-.61,-.41,-.50,-.33,-.44,-.37,-.67,-.36,-.38,-.30,-.33,-.51,-.38
1904,-1.10,-.66,-.34,-.49,-.41,-.39,-.47,-.33,-.50,-.30,-.02,-.24,-.44,-.47,-.81,-.41,-.39,-.27
1905,-.39,-1.15,-.10,-.43,-.26,-.24,-.13,-.25,-.11,-.32,.11,-.27,-.30,-.29,-.59,-.27,-.21,-.11
1906,-.64,-.77,-.24,.16,-.11,.07,-.12,.09,.00,.07,-.50,.11,-.16,-.19,-.56,-.06,.02,-.15
