Station: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.52,.05,-.29,-.48,-.28,-.55,-.68,.44,-.41,-.93,-.18,.02,-.32,***,***,-.35,-.27,-.51
1881,-.98,-.46,-.31,-.21,.04,-1.40,-.57,-.17,-.38,-.38,-.60,.27,-.43,-.45,-.48,-.16,-.71,-.45
1882,.11,-.32,-.11,-.66,-.25,-1.30,-.80,.00,.20,.16,-.01,-.54,-.29,-.23,.02,-.34,-.70,.12
1883,-.57,-.83,-.42,-.10,-.03,1.09,.22,.25,-.24,-.65,-.57,.16,-.14,-.20,-.65,-.19,.52,-.49
1884,-.42,-.08,.22,-.75,-1.52,-.81,-.95,1.09,.01,-.74,-.55,-1.15,-.47,-.36,-.12,-.68,-.22,-.43
1885,-.49,-.92,-1.11,-.97,-.29,-1.14,-.85,.08,.05,.56,-.13,.14,-.42,-.53,-.85,-.79,-.64,.16
1886,-.22,-.54,-.43,-.59,-.55,-.98,-.59,-.88,-.33,-1.27,-.12,-.88,-.61,-.53,-.21,-.52,-.82,-.58
1887,-.19,-1.37,-.45,-.79,-1.32,-.85,-.62,.14,-.94,-.42,-1.22,-.32,-.70,-.74,-.81,-.85,-.44,-.86
1888,-.21,-.51,-.80,-.17,-1.00,-.70,-.44,-.29,-.48,-.29,.16,.20,-.38,-.42,-.35,-.66,-.48,-.20
1889,.07,.25,.03,-.11,.03,-.47,-.70,-.98,-.36,.05,-.04,-.12,-.20,-.17,.17,-.01,-.72,-.12
1890,-.52,-.77,-.56,-.46,-1.08,-.74,-.90,-.80,-.43,-.38,-.71,-.49,-.65,-.62,-.47,-.70,-.81,-.51
1891,-1.02,-1.08,-.66,-.81,-.55,-.86,-1.22,-.97,-.88,-.66,-.33,.01,-.75,-.79,-.87,-.67,-1.02,-.62
1892,-.56,-.36,-.37,-.71,-.90,-.98,-.46,-.13,-.83,-.49,-.40,-.42,-.55,-.51,-.30,-.66,-.52,-.57
1893,-.94,-.83,-.74,-.93,-.89,-1.14,-.26,-.56,-.38,-.06,-.13,-.13,-.58,-.61,-.73,-.85,-.65,-.19
1894,-.58,-.62,-.62,-.69,-.94,-.74,-.69,-.51,-.59,.03,.25,-.02,-.48,-.49,-.44,-.75,-.65,-.10
1895,-.34,-.45,-.48,-.58,-.29,-.43,-.86,-.21,-.40,.00,-.24,.18,-.34,-.36,-.27,-.45,-.50,-.21
1896,.02,-.25,-.32,-.25,-.54,-.99,-.56,-.62,-.19,-.08,-.48,.05,-.35,-.34,-.01,-.37,-.73,-.25
1897,-.06,-.50,-.09,-.09,-.58,-.20,-.21,-.54,-.21,-.25,.24,-.15,-.22,-.20,-.17,-.25,-.32,-.07
1898,-.18,-.39,-.70,-.84,-.90,-.52,-.60,-.49,-.01,-.49,-.41,-.18,-.48,-.47,-.24,-.82,-.54,-.30
1899,-.64,-.46,-.37,-.43,-.67,-.84,-.66,-.71,-.19,-.66,-.43,.02,-.50,-.52,-.43,-.49,-.73,-.43
1900,-.34,.02,-.49,-.15,-.26,-.10,-.53,-.31,-.10,.14,-.02,-.13,-.19,-.18,-.10,-.30,-.31,.01
1901,.04,-.20,-.50,-.37,-.24,-.02,-.60,-.37,.15,-.16,.04,-.03,-.19,-.20,-.10,-.37,-.33,.01
1902,-.40,-.16,-.05,.04,-.16,-.25,-.47,-.73,-.48,-.45,-.38,-.31,-.32,-.29,-.20,-.06,-.49,-.44
1903,-.35,-.45,-.34,-.61,-.38,-.70,-.27,-.35,-.48,-.55,-.56,-.58,-.47,-.45,-.37,-.45,-.44,-.53
1904,-.63,-.87,-.76,-.42,-.80,-.58,-.70,-.64,-.45,-.72,-.40,-.50,-.62,-.63,-.69,-.66,-.64,-.52
1905,-.43,-.77,-.29,-.20,-.37,-.34,-.65,-.31,-.29,-.38,-.24,-.19,-.37,-.40,-.57,-.29,-.43,-.30
1906,.26,.08,-.33,.03,-.25,-.44,-.27,-.35,-.56,-.37,-.59,-.55,-.28,-.25,.05,-.19,-.35,-.51
1907,-.43,-.31,-.52,-.45,-.45,-.66,-.47,-.69,-.54,-.49,-.54,-.71,-.52,-.51,-.43,-.47,-.61,-.52
1908,-.30,-.44,-.42,-.58,-.42,-.70,-.58,-.35,-.20,-.47,-.48,-.34,-.44,-.47,-.48,-.48,-.54,-.38
1909,-.63,-.70,-.44,-.63,-.69,-.46,-.41,-.10,-.24,-.20,-.40,-.44,-.45,-.44,-.55,-.59,-.32,-.28
1910,-.42,-.37,-.58,-.36,-.21,-.33,-.25,-.03,.05,-.49,-.53,-.41,-.33,-.33,-.41,-.38,-.21,-.32
1911,-.50,-.58,-.56,-.62,-.43,-.62,-.26,-.34,-.39,-.24,-.14,-.19,-.41,-.43,-.50,-.54,-.41,-.26
1912,.11,-.14,-.25,-.30,-.30,-.34,-.38,-.39,-.04,-.05,-.30,-.14,-.21,-.21,-.08,-.28,-.37,-.13
1913,-.34,-.35,-.59,-.19,-.57,-.68,.04,-.03,-.06,-.15,-.15,.01,-.26,-.27,-.27,-.45,-.22,-.12
1914,-.01,.01,.08,.04,.12,.01,-.21,-.06,.03,.14,-.39,-.15,-.03,-.02,.00,.08,-.09,-.07
1915,-.17,.16,.08,-.12,-.40,-.46,.03,-.35,.03,.00,.02,-.15,-.11,-.11,-.05,-.15,-.26,.02
1916,-.26,-.13,-.36,-.27,-.44,-.62,-.53,-.07,-.01,-.08,-.49,-.46,-.31,-.28,-.18,-.36,-.41,-.19
1917,-.45,-.73,-.79,-.49,-.70,-.54,.17,-.49,-.41,-.37,-.32,-.48,-.47,-.46,-.54,-.66,-.29,-.37
1918,-.46,-.74,-.75,-.34,-.91,-.41,-.67,-.58,-.19,-.05,-.13,-.09,-.44,-.48,-.56,-.67,-.56,-.12
