Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.43,-.59,-.32,-.69,-.28,-.32,-1.07,-.82,-.52,-.22,-.39,-.30,.03,*****
1881,-.40,-.44,-.43,-.49,-.28,-.47,-.86,-.68,-.23,-.24,-.32,-.43,-.25,*****
1882,-.31,-.42,-.29,-.50,-.12,-.34,-1.32,-.42,-.35,-.07,-.20,-.30,-.11,*****
1883,-.32,-.61,-.14,-.71,-.19,-.18,-.18,-1.00,-.60,-.20,-.09,-.20,.27,*****
1884,-.63,-.85,-.47,-.94,-.52,-.48,-1.20,-1.06,-.77,-.51,-.49,-.36,-.64,*****
1885,-.49,-.67,-.42,-.77,-.26,-.45,-1.28,-.85,-.57,-.19,-.41,-.36,-.42,*****
1886,-.63,-.64,-.61,-.70,-.51,-.55,-1.18,-.68,-.59,-.39,-.86,-.48,-.47,*****
1887,-.69,-.68,-.70,-.73,-.62,-.62,-1.55,-.86,-.39,-.50,-.94,-.61,-.22,*****
1888,-.45,-.65,-.38,-.76,-.24,-.43,-1.47,-.97,-.39,-.21,-.28,-.17,-.81,*****
1889,-.21,-.33,-.20,-.42,.04,-.38,-.64,-.48,-.30,.01,.13,-.23,-.49,*****
1890,-.56,-.51,-.65,-.55,-.56,-.50,-1.04,-.76,-.24,-.35,-.87,-.55,-.17,*****
1891,-.56,-.45,-.75,-.54,-.50,-.54,-1.18,-.49,-.40,-.15,-1.02,-.48,-.45,*****
1892,-.49,-.49,-.55,-.57,-.38,-.53,-1.30,-.70,-.24,-.24,-.55,-.53,-.29,*****
1893,-.51,-.51,-.58,-.56,-.53,-.41,-.86,-.58,-.44,-.36,-.73,-.57,.22,*****
1894,-.40,-.41,-.48,-.46,-.43,-.29,-1.08,-.47,-.22,-.24,-.64,-.39,.19,*****
1895,-.35,-.42,-.34,-.49,-.30,-.26,-.83,-.59,-.28,-.20,-.42,-.27,-.02,*****
1896,-.30,-.39,-.35,-.51,-.26,-.13,-1.07,-.67,-.18,.00,-.55,-.11,.03,*****
1897,-.19,-.22,-.22,-.34,.02,-.32,-.61,-.37,-.21,.13,-.10,-.18,-.42,*****
1898,-.37,-.32,-.48,-.37,-.30,-.46,-1.14,-.32,-.14,-.14,-.48,-.34,-.51,*****
1899,-.30,-.17,-.50,-.23,-.28,-.36,-1.05,-.18,.01,.04,-.63,-.24,-.42,*****
1900,-.13,-.11,-.19,-.17,.01,-.27,-.60,-.16,-.02,.10,-.08,-.12,-.44,*****
1901,-.11,-.08,-.19,-.11,-.09,-.15,-.44,.04,-.12,.05,-.22,-.12,.04,*****
1902,-.34,-.43,-.32,-.61,-.04,-.45,-1.60,-.66,-.19,.07,-.16,-.27,-.67,*****
1903,-.40,-.36,-.47,-.44,-.24,-.56,-.45,-.39,-.49,-.12,-.37,-.49,-.46,-1.37
1904,-.51,-.44,-.62,-.44,-.58,-.50,-.28,-.48,-.45,-.43,-.74,-.39,-.44,-1.73
1905,-.33,-.30,-.37,-.35,-.21,-.47,-.12,-.22,-.53,-.16,-.25,-.42,-.37,-.92
1906,-.21,-.16,-.28,-.18,-.16,-.32,-.29,-.05,-.26,-.10,-.22,-.20,-.33,-.97
1907,-.51,-.55,-.52,-.65,-.42,-.48,-.65,-.88,-.47,-.31,-.55,-.46,-.27,-1.30
1908,-.37,-.34,-.44,-.38,-.38,-.35,-.35,-.46,-.34,-.25,-.53,-.50,.12,.67
1909,-.39,-.36,-.45,-.45,-.28,-.45,-.71,-.52,-.30,-.16,-.43,-.50,-.10,-.82
1910,-.32,-.33,-.33,-.34,-.37,-.24,-.64,-.19,-.34,-.32,-.42,-.25,-.03,.29
1911,-.36,-.32,-.41,-.32,-.37,-.37,-.24,-.34,-.34,-.30,-.44,-.38,-.13,-.18
1912,-.33,-.48,-.21,-.60,-.17,-.27,-.60,-.69,-.52,-.19,-.13,-.05,-.43,-2.16
1913,-.33,-.40,-.26,-.37,-.39,-.21,-.55,-.26,-.40,-.47,-.30,-.01,-.37,-1.37
1914,-.08,-.14,-.03,-.15,-.11,.04,-.50,-.05,-.11,-.11,-.11,.15,.04,-.34
